0,1,2,3,4,5,6,7,8,9
0.9,0.78,0.95,0.85,0.88,0.9,0.76,0.97,0.85,0.87
0.9,0.79,0.94,0.86,0.88,0.88,0.71,0.97,0.82,0.85
0.9,0.78,0.96,0.86,0.88,0.91,0.79,0.97,0.87,0.89
0.9,0.77,0.96,0.86,0.88,0.91,0.79,0.97,0.87,0.89
0.91,0.78,0.96,0.86,0.88,0.88,0.79,0.87,0.82,0.86
0.9,0.78,0.95,0.85,0.88,0.91,0.79,0.97,0.87,0.89
0.91,0.79,0.98,0.87,0.89,0.87,0.76,0.86,0.81,0.85
0.91,0.78,0.96,0.86,0.88,0.9,0.79,0.94,0.86,0.88
0.91,0.79,0.96,0.86,0.88,0.9,0.79,0.94,0.86,0.88
0.91,0.77,0.97,0.86,0.88,0.89,0.79,0.92,0.85,0.87
0.91,0.79,0.95,0.86,0.88,0.83,0.69,0.83,0.75,0.8
0.9,0.76,0.96,0.85,0.87,0.93,0.86,0.95,0.9,0.91
0.91,0.79,0.96,0.87,0.89,0.89,0.79,0.92,0.85,0.87
0.9,0.79,0.94,0.86,0.88,0.9,0.79,0.94,0.86,0.88
0.91,0.8,0.95,0.87,0.89,0.87,0.71,0.91,0.8,0.84
0.91,0.8,0.94,0.86,0.88,0.89,0.74,0.97,0.84,0.86
0.9,0.78,0.94,0.85,0.87,0.91,0.79,0.97,0.87,0.89
0.9,0.78,0.95,0.85,0.88,0.91,0.81,0.94,0.87,0.89
0.9,0.78,0.94,0.85,0.88,0.91,0.79,0.97,0.87,0.89
0.9,0.78,0.94,0.85,0.88,0.9,0.76,0.97,0.85,0.87
0.91,0.78,0.96,0.86,0.88,0.88,0.76,0.91,0.83,0.86
0.91,0.8,0.96,0.87,0.89,0.87,0.71,0.91,0.8,0.84
0.91,0.79,0.96,0.87,0.89,0.85,0.69,0.88,0.77,0.82
0.89,0.75,0.95,0.84,0.86,0.95,0.88,0.97,0.92,0.93
0.91,0.79,0.96,0.86,0.88,0.88,0.76,0.91,0.83,0.86
0.9,0.76,0.95,0.85,0.87,0.94,0.86,0.97,0.91,0.92
0.91,0.79,0.96,0.87,0.89,0.88,0.76,0.91,0.83,0.86
0.91,0.78,0.96,0.86,0.88,0.9,0.79,0.94,0.86,0.88
0.91,0.81,0.93,0.87,0.89,0.87,0.69,0.94,0.79,0.83
0.91,0.78,0.96,0.86,0.88,0.89,0.79,0.92,0.85,0.87
